Genotype	Avg_Inbred_seed wieght	Avg_B73outcross_seed wieght	Avg_Mo17outcross_seed wieght	B73_seed wt	Mo17_seed wt	Avg_Inbred_cob g	Avg_B73outcross_cob g	Avg_Mo17outcross_cob g	B73_cob g	Mo17_cob g	Avg_Inbred_cob dia	Avg_B73outcross_cob dia	Avg_Mo17outcross_cob dia	B73_cob dia	Mo17_cob dia	Avg_Inbred_cob len	Avg_B73outcross_cob len	Avg_Mo17outcross_cob len	B73_cob len	Mo17_cob len	Avg_Inbred_ind seed(g)	Avg_B73outcross_ind seed(g)	Avg_Mo17outcross_ind seed(g)	B73_ind seed(g)	Mo17_ind seed(g)	Avg_Inbred_seed#	Avg_B73outcross_seed#	Avg_Mo17outcross_seed#	B73_seed#	Mo17_seed#	Avg_Inbred_hgt	Avg_B73outcross_hgt	Avg_Mo17outcross_hgt	B73_hgt	Mo17_hgt
C103	98.0	156.7	95.2	96.5	72.0	23.0	23.6	14.4	20.3	9.2	2.3	2.3	2.2	2.4	1.6	18.8	16.4	12.4	12.9	14.4	0.24936	0.297572222	0.33835	0.25052	0.308666667	393.5565605	525.2790648	288.7645682	385.9	234.5	214.5	270.5	274.5	218.1666667	223.6666667
C49	36.3	137.2	148.7	96.5	72.0	16.7	24.1	20.9	20.3	9.2	2.9	2.5	2.1	2.4	1.6	10.8	16.2	18.9	12.9	14.4	0.230179	0.235233333	0.25988	0.25052	0.308666667	157.0411184	584.9959704	559.9027944	385.9	234.5	158.3333333	249.8333333	278.1666667	218.1666667	223.6666667
C49A	30.1	141.7	95.1	96.5	72.0	8.2	23.1	11.1	20.3	9.2	2.3	2.4	2.1	2.4	1.6	9.1	15.6	16.8	12.9	14.4	0.207749565	0.251553872	0.221933333	0.25052	0.308666667	145.9402433	560.2079883	430.9168305	385.9	234.5	148.3333333	299.6666667	257.8333333	218.1666667	223.6666667
CH701-30	76.1	126.9	172.2	96.5	72.0	12.7	20.3	24.0	20.3	9.2	1.8	2.3	2.0	2.4	1.6	13.6	14.3	19.1	12.9	14.4	0.267733333	0.277813636	0.327233333	0.25052	0.308666667	286.7050074	464.355317	521.7271747	385.9	234.5	215	280	257	218.1666667	223.6666667
CM105	67.7	148.4	152.6	96.5	72.0	20.7	22.3	19.9	20.3	9.2	2.9	2.4	2.4	2.4	1.6	15.3	15.9	17.9	12.9	14.4	0.266866667	0.276233333	0.280833333	0.25052	0.308666667	259.1896783	542.1904031	549.5600248	385.9	234.5	169.5	260.6666667	263	218.1666667	223.6666667
CM174	49.6	98.7	158.3	96.5	72.0	11.6	14.4	18.4	20.3	9.2	2.3	2.1	2.2	2.4	1.6	11.3	14.0	18.3	12.9	14.4	0.2035	0.28102906	0.273389933	0.25052	0.308666667	251.2088352	354.7864735	585.0068818	385.9	234.5	174.8333333	271	266.1666667	218.1666667	223.6666667
CO125	45.5	123.6		96.5	72.0	11.9	18.6		20.3	9.2	1.9	2.3		2.4	1.6	9.4	12.2		12.9	14.4	0.18565034	0.2442	0.269183656	0.25052	0.308666667	245.3655496	498.4353158	581.6233731	385.9	234.5	190.1666667	268.1666667	271.1666667	218.1666667	223.6666667
DE_2	79.2	167.3	210.5	96.5	72.0	25.5	29.9	32.0	20.3	9.2	3.0	2.7	2.7	2.4	1.6	12.3	15.5	17.7	12.9	14.4	0.313	0.27178374	0.349533333	0.25052	0.308666667	254.6722221	613.948895	598.3539819	385.9	234.5	215	280.6666667	292.1666667	218.1666667	223.6666667
DE1	102.6	184.4	212.0	96.5	72.0	26.4	31.1	29.3	20.3	9.2	2.8	2.6	2.5	2.4	1.6	15.0	16.5	18.4	12.9	14.4	0.258	0.279860246	0.370296776	0.25052	0.308666667	404.0625763	662.3831212	572.7987545	385.9	234.5	213.6666667	299.6666667	294.3333333	218.1666667	223.6666667
DE811	53.8	125.7	151.8	96.5	72.0	10.9	20.9	17.4	20.3	9.2	2.1	2.5	2.0	2.4	1.6	11.5	15.0	15.8	12.9	14.4	0.184866667	0.227133333	0.273747222	0.25052	0.308666667	291.3677274	540.9462072	554.9857021	385.9	234.5	226.8333333	290.5	305.8333333	218.1666667	223.6666667
EP1		156.1	128.3	96.5	72.0		23.4	15.2	20.3	9.2		2.6	2.1	2.4	1.6		15.7	18.4	12.9	14.4		0.28604	0.288106122	0.25052	0.308666667		549.5907592	445.4935033	385.9	234.5	135.8	251.8333333	260.6666667	218.1666667	223.6666667
F2	63.3	116.9	127.8	96.5	72.0	8.4	14.4	13.7	20.3	9.2	2.3	2.3	2.2	2.4	1.6	13.4	14.9	16.9	12.9	14.4	0.1842	0.27056239	0.2736	0.25052	0.308666667	346.5470285	455.5911718	462.1934906	385.9	234.5	166.1666667	271.1666667	266.6666667	218.1666667	223.6666667
H100	42.6	159.2	177.2	96.5	72.0	11.2	24.8	23.4	20.3	9.2	2.4	2.6	2.3	2.4	1.6	10.9	15.9	17.5	12.9	14.4	0.316951342	0.32032	0.363734694	0.25052	0.308666667	136.9613289	502.3530329	493.5603766	385.9	234.5	192.1666667	268.5	289.8333333	218.1666667	223.6666667
H105W	49.8	205.8	165.6	96.5	72.0	13.4	35.3	21.8	20.3	9.2	2.8	2.8	2.5	2.4	1.6	9.9	18.8	16.0	12.9	14.4	0.24072	0.264646377	0.304633333	0.25052	0.308666667	222.1617391	784.2500723	545.1806142	385.9	234.5	196.1666667	285.1666667	290.3333333	218.1666667	223.6666667
H49		197.5	247.3	96.5	72.0		24.1	30.1	20.3	9.2		2.8	2.6	2.4	1.6		16.0	19.8	12.9	14.4	0.259866667	0.296145833	0.3269	0.25052	0.308666667	266.5525582	667.7871837	754.9149656	385.9	234.5	196.1666667	297.6666667	282.1666667	218.1666667	223.6666667
H84	56.1	128.0	163.4	96.5	72.0	18.3	22.3	25.5	20.3	9.2	2.1	2.5	2.2	2.4	1.6	12.0	13.8	17.0	12.9	14.4	0.270633333	0.24284	0.300869444	0.25052	0.308666667	210.0557106	526.4579557	540.9344228	385.9	234.5	199.3333333	264.5	263.8333333	218.1666667	223.6666667
H91	88.6	134.9		96.5	72.0	17.8	20.3		20.3	9.2	2.1	2.3		2.4	1.6	15.8	15.5		12.9	14.4	0.26228	0.284533333		0.25052	0.308666667	336.0999175	475.1767914		385.9	234.5	213.5	274.1666667		218.1666667	223.6666667
H95	68.4	145.6	215.2	96.5	72.0	16.3	22.3	25.8	20.3	9.2	2.7	2.6	2.4	2.4	1.6	12.8	14.9	19.3	12.9	14.4	0.201833333	0.2191	0.3019	0.25052	0.308666667	343.0890859	662.7951241	711.6274969	385.9	234.5	184.8333333	278	295.5	218.1666667	223.6666667
H99	67.18	203.1	131.8	96.5	72.0	13.48	28.4	19.8	20.3	9.2	2.233333333	2.6	2.6	2.4	1.6	12.81666667	16.9	17.1	12.9	14.4	0.2529	0.260771361	0.341033333	0.25052	0.308666667	254.463027	785.2348322	452.1881562	385.9	234.5	158.5	296.1666667	264.8333333	218.1666667	223.6666667
HP301	44.1		179.1	96.5	72.0	9.5		19.0	20.3	9.2	2.183333333		2.2	2.4	1.6	12.86666667		17.0	12.9	14.4	0.100766667	0.204236735	0.303036879	0.25052	0.308666667	436.9557638	598.5371279	596.9988782	385.9	234.5	217	264.8333333	298.8333333	218.1666667	223.6666667
Il101	35.3	85.9	104.2	96.5	72.0	9.8	12.9	13.0	20.3	9.2	1.8	1.9	1.8	2.4	1.6	12.5	14.4	19.1	12.9	14.4	0.22414359	0.214666667	0.273566667	0.25052	0.308666667	173.242443	397.76151	387.3203594	385.9	234.5	159.5	263	259.3333333	218.1666667	223.6666667
Il14H	27.4	147.2	140.9	96.5	72.0	5.7	23.3	16.8	20.3	9.2	1.9	2.9	2.2	2.4	1.6	9.1	14.9	15.9	12.9	14.4	0.272645248	0.283433333	0.317909184	0.25052	0.308666667	99.05801655	516.3959473	444.4548582	385.9	234.5	210	301.1666667	287.8333333	218.1666667	223.6666667
K148	8.4	195.0	92.5	96.5	72.0	11.3	38.5	26.3	20.3	9.2	1.8	2.9	2.1	2.4	1.6	10.7	16.5	17.3	12.9	14.4		0.28505	0.307536451	0.25052	0.308666667		684.7877122	297.6814146	385.9	234.5	203	275.1666667	310.3333333	218.1666667	223.6666667
Ky226	11.9			96.5	72.0	11.7			20.3	9.2	2.0			2.4	1.6	10.8			12.9	14.4	0.198635897			0.25052	0.308666667	60.94799222			385.9	234.5	198			218.1666667	223.6666667
M14	37.0	164.1	178.4	96.5	72.0	9.3	25.6	22.3	20.3	9.2	2.1	2.2	2.4	2.4	1.6	10.4	15.4	20.2	12.9	14.4	0.2106	0.253476044	0.286366667	0.25052	0.308666667	175.8351198	643.7031615	643.2412083	385.9	234.5	183.3333333	274.1666667	285.1666667	218.1666667	223.6666667
MEF156-55-2	18.8	163.7	135.6	96.5	72.0	5.0	16.9	13.1	20.3	9.2	1.8	2.2	2.1	2.4	1.6	8.6	15.5	16.7	12.9	14.4	0.20916	0.255332574	0.248166667	0.25052	0.308666667	91.97360627	642.2070877	549.242864	385.9	234.5	195.1666667	276.6666667	282.1666667	218.1666667	223.6666667
Mo17	72.0	176.2	75.5	96.5	72.0	9.2	19.4	7.8	20.3	9.2	1.6	2.1	1.5	2.4	1.6	14.4	15.5	14.2	12.9	14.4	0.308666667	0.27567681	0.274786957	0.25052	0.308666667	234.5017354	642.245465	276.7779133	385.9	234.5	223.6666667	299.5	245.5	218.1666667	223.6666667
Mo44	18.0	136.2	206.5	96.5	72.0	20.1	26.5	27.7	20.3	9.2	1.9	2.5	2.1	2.4	1.6	14.5	16.0	20.5	12.9	14.4	0.217088889	0.227433333	0.310166667	0.25052	0.308666667	75.1051385	602.9360325	665.6885449	385.9	234.5	171.5	283.6666667	306	218.1666667	223.6666667
Mo45	17.5	138.4	87.2	96.5	72.0	14.8	29.1	23.8	20.3	9.2	2.3	2.3	2.2	2.4	1.6	13.1	18.7	18.7	12.9	14.4	0.196558559	0.242633333	0.299682993	0.25052	0.308666667	90.94287966	560.5635188	289.8336184	385.9	234.5	233.6666667	291.6666667	265.6666667	218.1666667	223.6666667
Mo46	63.8	152.0	27.3	96.5	72.0	12.8	30.1	13.4	20.3	9.2	2.5	2.7	1.8	2.4	1.6	9.8	15.4	13.5	12.9	14.4	0.2832	0.346937112	0.325075758	0.25052	0.308666667	225.1638731	438.8735326	74.97026023	385.9	234.5	203.8333333	277.5	254.3333333	218.1666667	223.6666667
Mo47	89.34	60.0	164.8	96.5	72.0	8.5	17.9	30.9	20.3	9.2	2.18	2.4	2.6	2.4	1.6	11.08	11.9	16.2	12.9	14.4	0.1956	0.218733333	0.296833333	0.25052	0.308666667	458.9068124	274.0036431	567.4727887	385.9	234.5	183.8333333	274.3333333	298.1666667	218.1666667	223.6666667
MS1334		173.1	140.6	96.5	72.0		28.1	18.0	20.3	9.2		2.5	2.0	2.4	1.6		19.0	19.0	12.9	14.4		0.29092	0.272421088	0.25052	0.308666667		595.8073462	516.0088301	385.9	234.5	159.2	253.5	274.5	218.1666667	223.6666667
MS153	110.0	185.2	130.1	96.5	72.0	20.8	25.2	16.0	20.3	9.2	2.5	2.6	2.2	2.4	1.6	15.3	15.2	16.5	12.9	14.4	0.326052482	0.310387877	0.30444403	0.25052	0.308666667	336.4125823	596.5930655	436.7139907	385.9	234.5	220.6666667	294.6666667	295.5	218.1666667	223.6666667
MS71	64.9	199.1	176.1	96.5	72.0	24.6	27.9	19.9	20.3	9.2	2.3	2.6	2.1	2.4	1.6	14.8	17.5	19.4	12.9	14.4	0.2657	0.27988	0.293966667	0.25052	0.308666667	244.8704682	710.468056	607.524182	385.9	234.5	188.8333333	282.3333333	289	218.1666667	223.6666667
N192	74.9		196.9	96.5	72.0	13.2		20.7	20.3	9.2	2.6		2.2	2.4	1.6	12.7		19.9	12.9	14.4	0.275866667		0.307666667	0.25052	0.308666667	272.7408887		638.8121019	385.9	234.5	185	248.6666667	277.5	218.1666667	223.6666667
N28Ht	55.1	158.9	226.2	96.5	72.0	17.3	24.6	31.1	20.3	9.2	2.4	2.4	2.6	2.4	1.6	11.7	17.5	19.7	12.9	14.4	0.23788	0.284443617	0.3202	0.25052	0.308666667	233.8452912	631.7896436	707.408399	385.9	234.5	187.5	265.6666667	273.1666667	218.1666667	223.6666667
N6	31.4	120.8	187.6	96.5	72.0	17.8	23.8	27.8	20.3	9.2	2.5	2.2	2.4	2.4	1.6	13.1	16.5	19.9	12.9	14.4	0.297181002	0.24451067	0.332566667	0.25052	0.308666667	105.1903309	509.5671664	571.716808	385.9	234.5	186.5	277.6666667	283.8333333	218.1666667	223.6666667
NC262	66.0	208.0	176.2	96.5	72.0	11.1	28.9	20.0	20.3	9.2	3.1	2.8	2.4	2.4	1.6	11.4	17.6	15.9	12.9	14.4	0.20588	0.26636	0.330906179	0.25052	0.308666667	320.9978216	776.2197607	533.8035246	385.9	234.5	159.3333333	275.3333333	273.5	218.1666667	223.6666667
NC264	60.6	155.3	155.6	96.5	72.0	11.8	21.5	21.0	20.3	9.2	2.3	2.4	2.3	2.4	1.6	11.0	16.3	17.0	12.9	14.4	0.261533333	0.28079078	0.334066667	0.25052	0.308666667	233.6898535	552.4228772	468.4723655	385.9	234.5	202	310.5	262.5	218.1666667	223.6666667
NC268	63.5	84.5	196.9	96.5	72.0	9.1	16.5	26.3	20.3	9.2	2.08	2.0	2.1	2.4	1.6	11.82	13.7	18.2	12.9	14.4	0.21988	0.229833333	0.312471158	0.25052	0.308666667	278.2252277	366.9429963	632.6132803	385.9	234.5	196	239.5	287.6666667	218.1666667	223.6666667
NC292	45.0	122.3	190.0	96.5	72.0	14.1	23.2	26.9	20.3	9.2	2.9	2.5	2.4	2.4	1.6	10.9	13.4	17.0	12.9	14.4	0.23523654	0.256866667	0.29444	0.25052	0.308666667	204.1787609	476.0210942	646.7965271	385.9	234.5	195	235.8333333	280.6666667	218.1666667	223.6666667
NC294	61.0	125.0	192.5	96.5	72.0	13.4	21.6	22.4	20.3	9.2	2.4	2.4	2.2	2.4	1.6	11.2	14.6	18.0	12.9	14.4	0.233433333	0.237206902	0.273633333	0.25052	0.308666667	258.8833451	533.4835985	704.326681	385.9	234.5	239.1666667	261.3333333	303.8333333	218.1666667	223.6666667
NC306	42.8	86.5	199.8	96.5	72.0	8.5	18.0	24.9	20.3	9.2	1.8	2.3	2.3	2.4	1.6	9.3	13.5	18.0	12.9	14.4	0.237335714	0.24556	0.327673709	0.25052	0.308666667	175.4295643	344.6706532	610.34696	385.9	234.5	178.3333333	247.1666667	295.8333333	218.1666667	223.6666667
NC308	5.9	118.1	249.3	96.5	72.0	10.8	21.8	32.9	20.3	9.2	2.1	2.3	2.4	2.4	1.6	10.3	14.4	20.1	12.9	14.4		0.249633113	0.36597619	0.25052	0.308666667		475.8231047	682.4093038	385.9	234.5	205.8333333	267.1666667	278	218.1666667	223.6666667
NC310	77.5	111.8	196.2	96.5	72.0	19.1	21.6	25.0	20.3	9.2	2.5	2.8	2.1	2.4	1.6	11.9	14.6	17.0	12.9	14.4	0.158533333	0.226466667	0.278566667	0.25052	0.308666667	489.5905227	489.365102	704.2990455	385.9	234.5	202.3333333	234.6666667	303.3333333	218.1666667	223.6666667
NC312	48.6	79.1	141.0	96.5	72.0	12.0	21.4	20.2	20.3	9.2	2.3	2.4	2.0	2.4	1.6	12.1	14.7	16.1	12.9	14.4	0.24784	0.30436	0.2959	0.25052	0.308666667	193.5128043	262.7999623	478.3583144	385.9	234.5	189.1666667	249.6666667	272	218.1666667	223.6666667
NC314	28.5	119.1	76.9	96.5	72.0	7.9	20.6	17.3	20.3	9.2	2.0	2.3	2.0	2.4	1.6	10.7	14.5	14.8	12.9	14.4	0.230510606	0.263143356	0.3026684	0.25052	0.308666667	122.6049033	451.2867409	245.5678886	385.9	234.5	206.6666667	267.1666667	277.5	218.1666667	223.6666667
NC316	100.7	144.6	245.7	96.5	72.0	19.0	23.3	32.0	20.3	9.2	2.3	2.4	2.3	2.4	1.6	13.9	15.3	21.5	12.9	14.4	0.259677778	0.2345	0.358	0.25052	0.308666667	397.1930643	617.4558976	687.9046803	385.9	234.5	236.1666667	261.8333333	296.5	218.1666667	223.6666667
NC324	22.46666667	147.9		96.5	72.0	12.825	23.8		20.3	9.2	2.5	2.8		2.4	1.6	13.2	15.3		12.9	14.4		0.24016		0.25052	0.308666667		617.246482		385.9	234.5	191.8333333	271.6666667	303	218.1666667	223.6666667
NC326	67.6	21.0	188.5	96.5	72.0	19.5	9.3	23.6	20.3	9.2	2.9	2.0	2.2	2.4	1.6	13.1	9.4	17.7	12.9	14.4	0.181366667	0.166702232	0.296614576	0.25052	0.308666667	371.9458434	99.55414624	642.318731	385.9	234.5	211.5	229.5	300.1666667	218.1666667	223.6666667
NC328	60.9	78.1	152.0	96.5	72.0	16.0	15.2	17.4	20.3	9.2	2.3	2.3	2.1	2.4	1.6	12.5	11.6	16.2	12.9	14.4	0.21	0.2246	0.299947486	0.25052	0.308666667	293.3039548	346.2635526	503.3572195	385.9	234.5	205.3333333	242.5	293.6666667	218.1666667	223.6666667
NC330	70.2	8.1	176.8	96.5	72.0	25.4	6.5	30.4	20.3	9.2	2.5	2.0	2.5	2.4	1.6	13.2	7.6	17.4	12.9	14.4	0.204866667	0.165147704	0.29455	0.25052	0.308666667	342.5398135	47.70614869	688.5595649	385.9	234.5	213.5	225.1666667	262.5	218.1666667	223.6666667
NC332	26.9	176.5	136.3	96.5	72.0	7.6	23.9	18.7	20.3	9.2	1.6	2.4	2.0	2.4	1.6	9.5	17.5	18.0	12.9	14.4	0.20948	0.256675177	0.290633333	0.25052	0.308666667	127.5595081	705.8363002	473.2720338	385.9	234.5	205.25	285.3333333	297.3333333	218.1666667	223.6666667
NC342		205.2	226.1	96.5	72.0		32.4	32.2	20.3	9.2		2.5	2.4	2.4	1.6		18.1	20.6	12.9	14.4	0.248602222	0.252366667	0.308891912	0.25052	0.308666667	141.5776305	679.4205755	732.5066987	385.9	234.5	199.6666667	274.5	280	218.1666667	223.6666667
NC364	51.9	158.8	158.8	96.5	72.0	18.3	23.5	22.7	20.3	9.2	2.3	2.3	2.2	2.4	1.6	13.7	15.8	17.0	12.9	14.4	0.2573	0.272052936	0.301323611	0.25052	0.308666667	207.5701217	585.0072683	523.3332612	385.9	234.5	196.1666667	323.1666667	288.1666667	218.1666667	223.6666667
NC372	64.7	70.8	228.5	96.5	72.0	15.0	14.3	26.5	20.3	9.2	2.8	2.7	2.4	2.4	1.6	11.3	11.0	18.6	12.9	14.4	0.173066667	0.21404	0.294866667	0.25052	0.308666667	362.0198468	326.3244163	780.0090257	385.9	234.5	202	250.1666667	304.1666667	218.1666667	223.6666667
