Genotype	Avg_Inbred_seed wieght	Avg_B73outcross_seed wieght	Avg_Mo17outcross_seed wieght	B73_seed wt	Mo17_seed wt	Avg_Inbred_cob g	Avg_B73outcross_cob g	Avg_Mo17outcross_cob g	B73_cob g	Mo17_cob g	Avg_Inbred_cob dia	Avg_B73outcross_cob dia	Avg_Mo17outcross_cob dia	B73_cob dia	Mo17_cob dia	Avg_Inbred_cob len	Avg_B73outcross_cob len	Avg_Mo17outcross_cob len	B73_cob len	Mo17_cob len	Avg_Inbred_ind seed(g)	Avg_B73outcross_ind seed(g)	Avg_Mo17outcross_ind seed(g)	B73_ind seed(g)	Mo17_ind seed(g)	Avg_Inbred_seed#	Avg_B73outcross_seed#	Avg_Mo17outcross_seed#	B73_seed#	Mo17_seed#	Avg_Inbred_hgt	Avg_B73outcross_hgt	Avg_Mo17outcross_hgt	B73_hgt	Mo17_hgt
Va17	35.9	156.3	170.3	96.5	72.0	12.5	29.9	28.9	20.3	9.2	2.0	2.8	2.6	2.4	1.6	14.4	17.3	17.9	12.9	14.4	0.263809524	0.24588	0.345902889	0.25052	0.308666667	143.9113838	627.3781716	492.4177492	385.9	234.5	187	299.6666667	304	218.1666667	223.6666667
Va22	36.2	164.6	181.6	96.5	72.0	20.2	35.3	33.7	20.3	9.2	2.0	2.5	2.2	2.4	1.6	15.5	19.1	21.6	12.9	14.4	0.17196	0.27832	0.318593669	0.25052	0.308666667	217.363275	591.7229299	568.3681621	385.9	234.5	191.8333333	285.3333333	276.5	218.1666667	223.6666667
Va35	95.2	91.9	136.1	96.5	72.0	16.9	18.5	20.2	20.3	9.2	2.5	2.1	2.1	2.4	1.6	18.0	13.5	17.5	12.9	14.4	0.2514	0.27304095	0.343369995	0.25052	0.308666667	379.6547832	327.1081034	392.4331257	385.9	234.5	189.8333333	266.6666667	292.5	218.1666667	223.6666667
Va85	25.4	206.6	194.3	96.5	72.0	15.3	31.6	29.5	20.3	9.2	1.8	2.7	2.2	2.4	1.6	16.2	17.9	20.4	12.9	14.4	0.351659842	0.277964117	0.348866667	0.25052	0.308666667	73.25725895	742.2717079	557.3395868	385.9	234.5	201.6666667	318.5	280.6666667	218.1666667	223.6666667
Va99	101.4	216.9	220.5	96.5	72.0	18.0	31.3	30.4	20.3	9.2	2.2	2.5	2.3	2.4	1.6	14.2	18.4	21.4	12.9	14.4	0.276966667	0.296653741	0.363460041	0.25052	0.308666667	364.8131594	729.2603833	606.5240716	385.9	234.5	194.6666667	255.5	272.1666667	218.1666667	223.6666667
W182B	67.6	190.9	121.5	96.5	72.0	16.1	30.2	17.8	20.3	9.2	1.9	2.4	2.0	2.4	1.6	16.3	17.7	19.4	12.9	14.4	0.200866667	0.254833333	0.228766667	0.25052	0.308666667	337.7773418	758.0233604	531.582469	385.9	234.5	182.8333333	299.8333333	294	218.1666667	223.6666667
W22	61.9	146.4	198.3	96.5	72.0	11.8	23.9	25.3	20.3	9.2	2.4	2.4	2.3	2.4	1.6	13.5	15.2	18.5	12.9	14.4	0.1871	0.219565278	0.300406944	0.25052	0.308666667	334.5227721	665.2613876	670.7852439	385.9	234.5	197.6666667	285	290	218.1666667	223.6666667
W401		130.7	128.5	96.5	72.0		17.1	16.0	20.3	9.2		2.1	2.0	2.4	1.6		14.1	15.6	12.9	14.4	0.22432	0.258766667	0.2524	0.25052	0.308666667	274.6315419	507.4373472	509.8345505	385.9	234.5	178.8333333	254.3333333	265.8333333	218.1666667	223.6666667
W64A	31.8	213.4	243.0	96.5	72.0	8.8	36.3	34.4	20.3	9.2	2.1	2.7	2.4	2.4	1.6	12.1	19.0	23.4	12.9	14.4	0.21295	0.270766667	0.329503861	0.25052	0.308666667	153.2076392	786.6269522	742.8361625	385.9	234.5	185.5	277.5	286.5	218.1666667	223.6666667
Wf9	106.0	188.5	230.1	96.5	72.0	19.9	27.9	33.6	20.3	9.2	2.3	2.5	2.5	2.4	1.6	13.4	15.1	20.0	12.9	14.4	0.2462	0.28479932	0.356985816	0.25052	0.308666667	429.2789018	659.5077272	643.6766621	385.9	234.5	220.5	290.1666667	267.8333333	218.1666667	223.6666667
